"compositeSampleID","siteID","sampleID","plotID","biomassID","geneticSampleID","biome","nlcdClass","horizon","sampleBottomDepth","sampleTopDepth","litterDepth","standingWaterDepth","soilTemp","sampleTiming","domainID","decimalLatitude","decimalLongitude","proportion_fungi","proportion_bacteria","gram_positive","gram_negative","total_fungi","total_bacteria","proportion_sap_ecto_fungi","proportion_arbuscular_fungi","bacteria_fungi_total","total_biomass","db_name","Bacteria","Eukaryota","Archaea","fungi_domain_metagenome","sample_id","genus_amf_metagenome","genus_fungi_metagenome","genus_fungi_minus_amf_metagenome","phyla_fungi_metagenome","seq_depth"
NA,"BART","BART_002-M-23-20220426","BART_002","BART_002-M-23-20220426-BM",NA,"Forest","deciduousForest","M",30,2,4,0,6,"winterSpringTransition","D01",44.035076,-71.272844,0.470333745364648,0.529666254635352,31.06,54.64,76.1,85.7,0.143386897404203,0.0511124845488257,161.8,212.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_002-O-23-20220426","BART_002","BART_002-O-23-20220426-BM","BART_002-O-23-20220426-GEN","Forest","deciduousForest","O",2,0,4,0,6,"winterSpringTransition","D01",44.035076,-71.272844,0.63913135761853,0.36086864238147,244.2,299.86,963.58,544.06,0.145372900692473,0.044957682205301,1507.64,1993.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_003-O-39-20220426","BART_003","BART_003-O-39-20220426-BM","BART_003-O-39-20220426-GEN","Forest","deciduousForest","O",1.8,0,3.5,0,4.8,"winterSpringTransition","D01",44.055247,-71.263146,0.593778842427872,0.406221157572128,276.17,300.4,842.78,576.57,0.13847183569944,0.0550463240215592,1419.35,1807.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_003-M-39-20220426","BART_003","BART_003-M-39-20220426-BM",NA,"Forest","deciduousForest","M",11,1.8,3.5,0,4.8,"winterSpringTransition","D01",44.055247,-71.263146,0.42747450509898,0.57252549490102,70.65,120.23,142.52,190.88,0.133143371325735,0.0586382723455309,333.4,464.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_003-M-21-20220426","BART_003","BART_003-M-21-20220426-BM",NA,"Forest","deciduousForest","M",26,1.4,4.8,0,6,"winterSpringTransition","D01",44.055247,-71.263146,0.396180524277092,0.603819475722908,28.54,38.49,43.98,67.03,0.103774434735609,0.0513467255202234,111.01,156.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_003-O-21-20220426","BART_003","BART_003-O-21-20220426-BM","BART_003-O-21-20220426-GEN","Forest","deciduousForest","O",1.4,0,4.8,0,6,"winterSpringTransition","D01",44.055247,-71.263146,0.546558126249643,0.453441873750357,195.14,217.61,497.51,412.75,0.110759563201723,0.0564563970733637,910.26,1329.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_001-O-23-20220426","BART_001","BART_001-O-23-20220426-BM","BART_001-O-23-20220426-GEN","Forest","mixedForest","O",1.8,0,1.9,0,5.2,"winterSpringTransition","D01",44.047079,-71.306661,0.541183010896153,0.458816989103847,283.21,335.78,730.11,618.99,0.215751241568453,0.0496923875176043,1349.1,1819.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_001-M-23-20220426","BART_001","BART_001-M-23-20220426-BM",NA,"Forest","mixedForest","M",30,1.8,1.9,0,5.2,"winterSpringTransition","D01",44.047079,-71.306661,0.349403018697905,0.650596981302095,26.72,31.04,31.02,57.76,0.097769767965758,0.0489975219644064,88.78,125.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_003-O-23-20220426","BART_003","BART_003-O-23-20220426-BM","BART_003-O-23-20220426-GEN","Forest","deciduousForest","O",2.1,0,4.5,0,5.4,"winterSpringTransition","D01",44.055247,-71.263146,0.58440006684492,0.41559993315508,241.16,256.23,699.41,497.39,0.139246323529412,0.0412098930481283,1196.8,1607.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_003-M-23-20220426","BART_003","BART_003-M-23-20220426-BM",NA,"Forest","deciduousForest","M",17,2.1,4.5,0,5.4,"winterSpringTransition","D01",44.055247,-71.263146,0.431134698003538,0.568865301996462,40.12,72.43,85.3,112.55,0.143391458175385,0.0438210765731615,197.85,269.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
