taxon,trophicMode,guild,confidenceRanking,functional_group,name
Crepidotus,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,crepidotus
Hypsizygus,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,hypsizygus
Hygrophoropsis,Saprotroph,|Plant Saprotroph|-Wood Saprotroph,Probable,Other saprotroph,hygrophoropsis
Chiua,Symbiotroph,|Ectomycorrhizal|,Probable,Ectomycorrhizae,chiua
Hydnomerulius,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,hydnomerulius
Plicaturopsis,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,plicaturopsis
Filobasidium,Saprotroph,|Undefined Saprotroph|,Highly Probable,Other saprotroph,filobasidium
Thamnidium, Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,thamnidium
Globomyces,Saprotroph,|Pollen Saprotroph|,Probable,Other saprotroph,globomyces
Cladochytrium,Pathotroph-Saprotroph,Algal Saprotroph-Plant Pathogen-|Plant Saprotroph|,Probable,Pathogen,cladochytrium
Saccharomycopsis,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,saccharomycopsis
Cytidiella,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,cytidiella
Heliocybe,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,heliocybe
Amylomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,amylomyces
Batrachochytrium,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,batrachochytrium
Pinnaticoemansia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,pinnaticoemansia
Piedraia,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,piedraia
Helicocarpus,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,helicocarpus
Kluyveromyces,Saprotroph-Symbiotroph,Endophyte-|Undefined Saprotroph|,Probable,Endophyte,kluyveromyces
Kazachstania,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,kazachstania
Vanderwaltozyma,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,vanderwaltozyma
Yamadazyma,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,yamadazyma
Debaryomyces,Saprotroph,|Undefined Saprotroph|,Highly Probable,Other saprotroph,debaryomyces
Clavispora,Pathotroph-Saprotroph,Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Pathogen,clavispora
Peterozyma,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,peterozyma
Ambrosiozyma,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,ambrosiozyma
Nadsonia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,nadsonia
Cyberlindnera,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,cyberlindnera
Blastobotrys,Saprotroph,|Undefined Saprotroph|,Highly Probable,Other saprotroph,blastobotrys
Hermanssonia,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,hermanssonia
Rigidoporus,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,rigidoporus
Crucibulum,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,crucibulum
Omphalotus,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,omphalotus
Pterula, Saprotroph,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Probable,Other saprotroph,pterula
Phlebopus,Saprotroph-Symbiotroph,Animal Associated Biotroph-Root Associate Biotroph,Highly Probable,NA,phlebopus
Butyriboletus,Symbiotroph,|Ectomycorrhizal|,Probable,Ectomycorrhizae,butyriboletus
Gyrodon,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,gyrodon
