ncbi_species_taxid	accession	ncbi_genbank_assembly_accession	ncbi_organism_name	kingdom	phylum	species	ncbi_taxonomy	source	is_published
2162046	GCA_003278065.1	GCA_003278065.1	Pelagibacteraceae bacterium AG-390-O04	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-390-O04	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
2162056	GCA_003284275.1	GCA_003284275.1	Pelagibacteraceae bacterium AG-313-A04	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-313-A04	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
2162059	GCA_003281385.1	GCA_003281385.1	Prochlorococcus sp. AG-347-K17	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-K17	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162060	GCA_003281365.1	GCA_003281365.1	Prochlorococcus sp. AG-347-K18	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-K18	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162061	GCA_003281335.1	GCA_003281335.1	Prochlorococcus sp. AG-347-K19	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-K19	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162062	GCA_003281315.1	GCA_003281315.1	Prochlorococcus sp. AG-347-K20	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-K20	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162065	GCA_003281255.1	GCA_003281255.1	Prochlorococcus sp. AG-347-L02	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-L02	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162066	GCA_003278925.1	GCA_003278925.1	Prochlorococcus sp. AG-347-L17	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-L17	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162080	GCA_003216975.1	GCA_003216975.1	Prochlorococcus sp. AG-402-I20	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-I20	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162081	GCA_003216955.1	GCA_003216955.1	Prochlorococcus sp. AG-402-I21	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-I21	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
