samp_name,fungal_proportion,readdepth,db_name,n_reads,pass_filter,n_pass_filter,percent_classified_passing,metric,value,Database
fungprop_3_readdepth_5M_gtdb_207_unfiltered,3,5000000,gtdb_207_unfiltered,2426341,1,2268991,0.9351492638503821,percent_passing,0.9075964,GTDB r207
fungprop_3_readdepth_5M_gtdb_207_unfiltered,3,5000000,gtdb_207_unfiltered,2426341,1,2268991,0.9351492638503821,percent_classified,0.9705364,GTDB r207
fungprop_3_readdepth_5M_pluspf,3,5000000,pluspf,1934194,1,1498427,0.7747035716169113,percent_passing,0.5993708,PlusPF
fungprop_3_readdepth_5M_pluspf,3,5000000,pluspf,1934194,1,1498427,0.7747035716169113,percent_classified,0.7736776,PlusPF
fungprop_3_readdepth_5M_soil_microbe_db,3,5000000,soil_microbe_db,2492717,1,2435186,0.9769203644055864,percent_passing,0.9740744,SoilMicrobeDB
fungprop_3_readdepth_5M_soil_microbe_db,3,5000000,soil_microbe_db,2492717,1,2435186,0.9769203644055864,percent_classified,0.9970868,SoilMicrobeDB
fungprop_5_readdepth_.1M_gtdb_207,5,100000,gtdb_207,47151,1,45992,0.9754193972556255,percent_passing,0.91984,gtdb_207
fungprop_5_readdepth_.1M_gtdb_207,5,100000,gtdb_207,47151,1,45992,0.9754193972556255,percent_classified,0.94302,gtdb_207
fungprop_5_readdepth_.1M_gtdb_207_unfiltered,5,100000,gtdb_207_unfiltered,47132,1,43922,0.9318934057540524,percent_passing,0.87844,GTDB r207
fungprop_5_readdepth_.1M_gtdb_207_unfiltered,5,100000,gtdb_207_unfiltered,47132,1,43922,0.9318934057540524,percent_classified,0.94264,GTDB r207
fungprop_5_readdepth_.1M_pluspf,5,100000,pluspf,38087,1,29523,0.775146375403681,percent_passing,0.59046,PlusPF
fungprop_5_readdepth_.1M_pluspf,5,100000,pluspf,38087,1,29523,0.775146375403681,percent_classified,0.76174,PlusPF
fungprop_5_readdepth_.1M_soil_microbe_db,5,100000,soil_microbe_db,49871,1,48711,0.976739989172064,percent_passing,0.97422,SoilMicrobeDB
fungprop_5_readdepth_.1M_soil_microbe_db,5,100000,soil_microbe_db,49871,1,48711,0.976739989172064,percent_classified,0.99742,SoilMicrobeDB
fungprop_5_readdepth_.5M_gtdb_207,5,500000,gtdb_207,235822,1,229934,0.975032015672838,percent_passing,0.919736,gtdb_207
fungprop_5_readdepth_.5M_gtdb_207,5,500000,gtdb_207,235822,1,229934,0.975032015672838,percent_classified,0.943288,gtdb_207
fungprop_5_readdepth_.5M_gtdb_207_unfiltered,5,500000,gtdb_207_unfiltered,235781,1,220084,0.9334255092649535,percent_passing,0.880336,GTDB r207
fungprop_5_readdepth_.5M_gtdb_207_unfiltered,5,500000,gtdb_207_unfiltered,235781,1,220084,0.9334255092649535,percent_classified,0.943124,GTDB r207
fungprop_5_readdepth_.5M_soil_microbe_db,5,500000,soil_microbe_db,249388,1,243496,0.9763741639533579,percent_passing,0.973984,SoilMicrobeDB
fungprop_5_readdepth_.5M_soil_microbe_db,5,500000,soil_microbe_db,249388,1,243496,0.9763741639533579,percent_classified,0.997552,SoilMicrobeDB
fungprop_5_readdepth_1M_gtdb_207,5,1000000,gtdb_207,471789,1,460255,0.9755526305191515,percent_passing,0.92051,gtdb_207
